cell_id,lon,lat,hora,riesgo_dyn
121,-76.592258,3.465973,0,52.45
121,-76.592258,3.465973,1,50.76
121,-76.592258,3.465973,2,49.07
121,-76.592258,3.465973,3,48.05
121,-76.592258,3.465973,4,49.07
121,-76.592258,3.465973,5,50.76
121,-76.592258,3.465973,6,52.45
121,-76.592258,3.465973,7,54.14
121,-76.592258,3.465973,8,54.82
121,-76.592258,3.465973,9,55.16
121,-76.592258,3.465973,10,55.84
121,-76.592258,3.465973,11,56.51
121,-76.592258,3.465973,12,57.53
121,-76.592258,3.465973,13,58.2
121,-76.592258,3.465973,14,58.88
121,-76.592258,3.465973,15,59.56
121,-76.592258,3.465973,16,60.91
121,-76.592258,3.465973,17,63.62
121,-76.592258,3.465973,18,65.99
121,-76.592258,3.465973,19,67.68
121,-76.592258,3.465973,20,67.68
121,-76.592258,3.465973,21,67.0
121,-76.592258,3.465973,22,64.3
121,-76.592258,3.465973,23,59.22
123,-76.592258,3.468663,0,53.28
123,-76.592258,3.468663,1,51.56
123,-76.592258,3.468663,2,49.84
123,-76.592258,3.468663,3,48.81
123,-76.592258,3.468663,4,49.84
123,-76.592258,3.468663,5,51.56
123,-76.592258,3.468663,6,53.28
123,-76.592258,3.468663,7,55.0
123,-76.592258,3.468663,8,55.69
123,-76.592258,3.468663,9,56.03
123,-76.592258,3.468663,10,56.72
123,-76.592258,3.468663,11,57.41
123,-76.592258,3.468663,12,58.44
123,-76.592258,3.468663,13,59.12
123,-76.592258,3.468663,14,59.81
123,-76.592258,3.468663,15,60.5
123,-76.592258,3.468663,16,61.88
123,-76.592258,3.468663,17,64.62
123,-76.592258,3.468663,18,67.03
123,-76.592258,3.468663,19,68.75
123,-76.592258,3.468663,20,68.75
123,-76.592258,3.468663,21,68.06
123,-76.592258,3.468663,22,65.31
123,-76.592258,3.468663,23,60.16
100122,-76.590911,3.467318,0,50.8
100122,-76.590911,3.467318,1,49.16
100122,-76.590911,3.467318,2,47.52
100122,-76.590911,3.467318,3,46.54
100122,-76.590911,3.467318,4,47.52
100122,-76.590911,3.467318,5,49.16
100122,-76.590911,3.467318,6,50.8
100122,-76.590911,3.467318,7,52.44
100122,-76.590911,3.467318,8,53.1
100122,-76.590911,3.467318,9,53.42
100122,-76.590911,3.467318,10,54.08
100122,-76.590911,3.467318,11,54.73
100122,-76.590911,3.467318,12,55.72
100122,-76.590911,3.467318,13,56.37
100122,-76.590911,3.467318,14,57.03
100122,-76.590911,3.467318,15,57.68
100122,-76.590911,3.467318,16,58.99
100122,-76.590911,3.467318,17,61.62
100122,-76.590911,3.467318,18,63.91
100122,-76.590911,3.467318,19,65.55
100122,-76.590911,3.467318,20,65.55
100122,-76.590911,3.467318,21,64.89
100122,-76.590911,3.467318,22,62.27
100122,-76.590911,3.467318,23,57.36
200120,-76.589563,3.464628,0,67.65
200120,-76.589563,3.464628,1,65.47
200120,-76.589563,3.464628,2,63.29
200120,-76.589563,3.464628,3,61.98
200120,-76.589563,3.464628,4,63.29
200120,-76.589563,3.464628,5,65.47
200120,-76.589563,3.464628,6,67.65
200120,-76.589563,3.464628,7,69.83
200120,-76.589563,3.464628,8,70.7
200120,-76.589563,3.464628,9,71.14
200120,-76.589563,3.464628,10,72.01
200120,-76.589563,3.464628,11,72.89
200120,-76.589563,3.464628,12,74.2
200120,-76.589563,3.464628,13,75.07
200120,-76.589563,3.464628,14,75.94
200120,-76.589563,3.464628,15,76.82
200120,-76.589563,3.464628,16,78.56
200120,-76.589563,3.464628,17,82.05
200120,-76.589563,3.464628,18,85.11
200120,-76.589563,3.464628,19,87.29
200120,-76.589563,3.464628,20,87.29
200120,-76.589563,3.464628,21,86.42
200120,-76.589563,3.464628,22,82.93
200120,-76.589563,3.464628,23,76.38
200121,-76.589563,3.465973,0,64.02
200121,-76.589563,3.465973,1,61.96
200121,-76.589563,3.465973,2,59.89
200121,-76.589563,3.465973,3,58.65
200121,-76.589563,3.465973,4,59.89
200121,-76.589563,3.465973,5,61.96
200121,-76.589563,3.465973,6,64.02
200121,-76.589563,3.465973,7,66.09
200121,-76.589563,3.465973,8,66.91
200121,-76.589563,3.465973,9,67.33
200121,-76.589563,3.465973,10,68.15
200121,-76.589563,3.465973,11,68.98
200121,-76.589563,3.465973,12,70.22
200121,-76.589563,3.465973,13,71.04
200121,-76.589563,3.465973,14,71.87
200121,-76.589563,3.465973,15,72.7
200121,-76.589563,3.465973,16,74.35
200121,-76.589563,3.465973,17,77.65
200121,-76.589563,3.465973,18,80.54
200121,-76.589563,3.465973,19,82.61
200121,-76.589563,3.465973,20,82.61
200121,-76.589563,3.465973,21,81.78
200121,-76.589563,3.465973,22,78.48
200121,-76.589563,3.465973,23,72.28
300118,-76.588216,3.461938,0,51.85
300118,-76.588216,3.461938,1,50.18
300118,-76.588216,3.461938,2,48.5
300118,-76.588216,3.461938,3,47.5
300118,-76.588216,3.461938,4,48.5
300118,-76.588216,3.461938,5,50.18
300118,-76.588216,3.461938,6,51.85
300118,-76.588216,3.461938,7,53.52
300118,-76.588216,3.461938,8,54.19
300118,-76.588216,3.461938,9,54.52
300118,-76.588216,3.461938,10,55.19
300118,-76.588216,3.461938,11,55.86
300118,-76.588216,3.461938,12,56.87
300118,-76.588216,3.461938,13,57.53
300118,-76.588216,3.461938,14,58.2
300118,-76.588216,3.461938,15,58.87
300118,-76.588216,3.461938,16,60.21
300118,-76.588216,3.461938,17,62.89
300118,-76.588216,3.461938,18,65.23
300118,-76.588216,3.461938,19,66.9
300118,-76.588216,3.461938,20,66.9
300118,-76.588216,3.461938,21,66.23
300118,-76.588216,3.461938,22,63.55
300118,-76.588216,3.461938,23,58.54
300119,-76.588216,3.463283,0,66.25
300119,-76.588216,3.463283,1,64.11
300119,-76.588216,3.463283,2,61.97
300119,-76.588216,3.463283,3,60.69
300119,-76.588216,3.463283,4,61.97
300119,-76.588216,3.463283,5,64.11
300119,-76.588216,3.463283,6,66.25
300119,-76.588216,3.463283,7,68.38
300119,-76.588216,3.463283,8,69.24
300119,-76.588216,3.463283,9,69.67
300119,-76.588216,3.463283,10,70.52
300119,-76.588216,3.463283,11,71.38
300119,-76.588216,3.463283,12,72.66
300119,-76.588216,3.463283,13,73.51
300119,-76.588216,3.463283,14,74.37
300119,-76.588216,3.463283,15,75.22
300119,-76.588216,3.463283,16,76.93
300119,-76.588216,3.463283,17,80.35
300119,-76.588216,3.463283,18,83.34
300119,-76.588216,3.463283,19,85.48
300119,-76.588216,3.463283,20,85.48
300119,-76.588216,3.463283,21,84.63
300119,-76.588216,3.463283,22,81.21
300119,-76.588216,3.463283,23,74.8
300120,-76.588216,3.464628,0,60.26
300120,-76.588216,3.464628,1,58.31
300120,-76.588216,3.464628,2,56.37
300120,-76.588216,3.464628,3,55.2
300120,-76.588216,3.464628,4,56.37
300120,-76.588216,3.464628,5,58.31
300120,-76.588216,3.464628,6,60.26
300120,-76.588216,3.464628,7,62.2
300120,-76.588216,3.464628,8,62.98
300120,-76.588216,3.464628,9,63.37
300120,-76.588216,3.464628,10,64.14
300120,-76.588216,3.464628,11,64.92
300120,-76.588216,3.464628,12,66.09
300120,-76.588216,3.464628,13,66.86
300120,-76.588216,3.464628,14,67.64
